PES,Clearance,KFCI,SER_Baseline,MCW_Baseline,serfromClearance_I,serfromPES_I,serfromkfci_I,mcwfromClearance_I,mcwfromPES_I,mcwfromkfci_I,serfromClearance_F,serfromPES_F,serfromkfci_F,mcwfromClearance_F,mcwfromPES_F,mcwfromkfci_F,SER_New,MCW_New,TrackPitch,KTPI,KBPI,ADC,BAR
2.25,1.2,2600,-5,50,-1.9628922495274443,-2.01823007758656,-1.4069795887596364,52.67953684262843,63.77386037731752,55.85960473388437,-1.9628922495274443,-2.0281890058256224,-1.2512418640984406,52.67953684262843,62.65381538752841,66.48626247874896,-4.8542212035778665,59.50661275507548,52.0,488.4615384615385,2251.6,1099.82,4.609574803149606
2.25,1.2,2800,-5,50,-1.9628922495274443,-2.01823007758656,-1.4069795887596364,52.67953684262843,63.77386037731752,55.85960473388437,-1.9628922495274443,-2.0281890058256224,-1.0849389645467977,52.67953684262843,62.65381538752841,61.834268083136095,-4.6879183040262244,54.85461835946262,47.0,540.4255319148936,2424.8,1310.4238297872341,4.486834645669292
2.25,1.2,3000,-5,50,-1.9628922495274443,-2.01823007758656,-1.4069795887596364,52.67953684262843,63.77386037731752,55.85960473388437,-1.9628922495274443,-2.0281890058256224,-0.8662919464629106,52.67953684262843,62.65381538752841,54.059562594091545,-4.469271285942337,47.07991287041807,40.0,635.0,2598.0,1649.73,4.0913385826771655
2.25,0.8,2600,-5,50,-1.9628922495274443,-2.01823007758656,-1.4069795887596364,52.67953684262843,63.77386037731752,55.85960473388437,-2.070912621359243,-2.0281890058256224,-1.2512418640984406,53.908451260718884,62.65381538752841,66.48626247874896,-4.962241575409665,60.735527173165934,53.0,479.2452830188679,2251.6,1079.068679245283,4.698220472440945
2.25,0.8,2800,-5,50,-1.9628922495274443,-2.01823007758656,-1.4069795887596364,52.67953684262843,63.77386037731752,55.85960473388437,-2.070912621359243,-2.0281890058256224,-1.0849389645467977,53.908451260718884,62.65381538752841,61.834268083136095,-4.795938675858023,56.083532777553074,48.0,529.1666666666666,2424.8,1283.1233333333332,4.582299212598426
2.25,0.8,3000,-5,50,-1.9628922495274443,-2.01823007758656,-1.4069795887596364,52.67953684262843,63.77386037731752,55.85960473388437,-2.070912621359243,-2.0281890058256224,-0.8662919464629106,53.908451260718884,62.65381538752841,54.059562594091545,-4.577291657774136,48.308827288508525,41.0,619.5121951219512,2598.0,1609.4926829268293,4.193622047244094
2.25,0.6,2600,-5,50,-1.9628922495274443,-2.01823007758656,-1.4069795887596364,52.67953684262843,63.77386037731752,55.85960473388437,-2.1316062992126144,-2.0281890058256224,-1.2512418640984406,54.28630163940194,62.65381538752841,66.48626247874896,-5.022935253263038,61.11337755184899,53.0,479.2452830188679,2251.6,1079.068679245283,4.698220472440945
2.25,0.6,2800,-5,50,-1.9628922495274443,-2.01823007758656,-1.4069795887596364,52.67953684262843,63.77386037731752,55.85960473388437,-2.1316062992126144,-2.0281890058256224,-1.0849389645467977,54.28630163940194,62.65381538752841,61.834268083136095,-4.856632353711394,56.46138315623613,49.0,518.3673469387754,2424.8,1256.9371428571428,4.67776377952756
2.25,0.6,3000,-5,50,-1.9628922495274443,-2.01823007758656,-1.4069795887596364,52.67953684262843,63.77386037731752,55.85960473388437,-2.1316062992126144,-2.0281890058256224,-0.8662919464629106,54.28630163940194,62.65381538752841,54.059562594091545,-4.637985335627507,48.68667766719158,41.0,619.5121951219512,2598.0,1609.4926829268293,4.193622047244094
5.0,1.2,2600,-5,50,-1.9628922495274443,-2.01823007758656,-1.4069795887596364,52.67953684262843,63.77386037731752,55.85960473388437,-1.9628922495274443,-2.0868239412483547,-1.2512418640984406,52.67953684262843,54.24815547996592,66.48626247874896,-4.912856139000599,51.100952847512985,43.0,590.6976744186046,2251.6,1330.01488372093,3.8117637795275594
